Analitik Düşünme,Duygusal Dayanıklılık,Empati,Hızlı ve Soğukkanlı Karar Alma,Sayısal Zeka,Stres Yönetimi,Takım Çalışması,Teknoloji Adaptasyonu,id,persona
5.0000000000000000,3.0000000000000000,3.0000000000000000,4.5000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,1,Bilgisayar Mühendisi
4.0000000000000000,4.0000000000000000,3.5000000000000000,4.5000000000000000,4.0000000000000000,5.0000000000000000,3.0000000000000000,2.5000000000000000,2,Bilgisayar Mühendisi
2.5000000000000000,4.0000000000000000,3.5000000000000000,3.5000000000000000,2.5000000000000000,4.0000000000000000,3.0000000000000000,3.0000000000000000,3,Doktor
2.5000000000000000,4.0000000000000000,4.0000000000000000,4.0000000000000000,5.0000000000000000,4.5000000000000000,4.5000000000000000,4.0000000000000000,4,Doktor
4.0000000000000000,4.5000000000000000,3.0000000000000000,4.5000000000000000,3.0000000000000000,4.5000000000000000,4.5000000000000000,3.5000000000000000,5,Doktor
3.0000000000000000,5.0000000000000000,3.5000000000000000,2.0000000000000000,3.0000000000000000,3.5000000000000000,4.0000000000000000,4.5000000000000000,6,Bilgisayar Mühendisi
3.0000000000000000,3.5000000000000000,4.0000000000000000,1.5000000000000000,3.0000000000000000,3.5000000000000000,4.5000000000000000,2.0000000000000000,7,Doktor
5.0000000000000000,4.0000000000000000,2.5000000000000000,4.0000000000000000,2.5000000000000000,3.5000000000000000,4.5000000000000000,3.5000000000000000,8,Doktor
3.0000000000000000,4.0000000000000000,4.0000000000000000,3.5000000000000000,5.0000000000000000,2.5000000000000000,4.5000000000000000,4.0000000000000000,9,Bilgisayar Mühendisi
3.0000000000000000,5.0000000000000000,3.0000000000000000,1.5000000000000000,5.0000000000000000,5.0000000000000000,4.5000000000000000,2.0000000000000000,10,Bilgisayar Mühendisi
2.5000000000000000,5.0000000000000000,3.5000000000000000,3.5000000000000000,3.0000000000000000,5.0000000000000000,5.0000000000000000,2.5000000000000000,11,Bilgisayar Mühendisi
5.0000000000000000,4.5000000000000000,4.0000000000000000,3.5000000000000000,5.0000000000000000,3.5000000000000000,4.5000000000000000,4.5000000000000000,12,Bilgisayar Mühendisi
4.5000000000000000,4.5000000000000000,2.5000000000000000,2.0000000000000000,5.0000000000000000,4.0000000000000000,4.0000000000000000,4.0000000000000000,13,Bilgisayar Mühendisi
2.5000000000000000,4.5000000000000000,3.5000000000000000,2.5000000000000000,2.0000000000000000,3.5000000000000000,4.5000000000000000,3.5000000000000000,14,Bilgisayar Mühendisi
5.0000000000000000,5.0000000000000000,4.0000000000000000,3.5000000000000000,5.0000000000000000,3.5000000000000000,5.0000000000000000,4.0000000000000000,15,Bilgisayar Mühendisi
3.0000000000000000,5.0000000000000000,4.0000000000000000,4.0000000000000000,5.0000000000000000,5.0000000000000000,4.0000000000000000,4.5000000000000000,16,Bilgisayar Mühendisi
4.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,5.0000000000000000,3.5000000000000000,4.5000000000000000,4.0000000000000000,17,Bilgisayar Mühendisi
5.0000000000000000,4.0000000000000000,4.0000000000000000,3.5000000000000000,5.0000000000000000,4.0000000000000000,4.5000000000000000,4.5000000000000000,18,Bilgisayar Mühendisi
3.0000000000000000,3.5000000000000000,4.0000000000000000,2.5000000000000000,2.0000000000000000,3.5000000000000000,4.5000000000000000,3.0000000000000000,19,Bilgisayar Mühendisi
4.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,5.0000000000000000,4.0000000000000000,4.5000000000000000,4.0000000000000000,20,Doktor
4.0000000000000000,4.0000000000000000,4.0000000000000000,3.5000000000000000,4.5000000000000000,4.5000000000000000,5.0000000000000000,4.0000000000000000,21,Bilgisayar Mühendisi
1.5000000000000000,5.0000000000000000,2.0000000000000000,2.5000000000000000,3.0000000000000000,2.5000000000000000,5.0000000000000000,3.0000000000000000,22,Bilgisayar Mühendisi
5.0000000000000000,4.5000000000000000,4.0000000000000000,2.0000000000000000,5.0000000000000000,2.5000000000000000,2.0000000000000000,4.5000000000000000,23,Bilgisayar Mühendisi
3.0000000000000000,5.0000000000000000,3.5000000000000000,5.0000000000000000,5.0000000000000000,4.0000000000000000,4.5000000000000000,3.0000000000000000,24,Doktor
